author,h_index,i10_index,citations,h_index_15,i10_index_15,citations_15
UNKNOWN,88,354,44012,44,178,10451
 Haibo Zhang,61,256,13774,41,167,6398
 Yimin  Li,15,16,1691,11,11,804
 Yanan Cao,4,4,113,4,3,68
 Lin  Li,56,641,25415,49,462,17106
 Xiaohui  Sun,7,1,118,7,1,116
 Fang  Wen,26,58,2979,21,45,1732
 Guang  Ning,12,12,2182,11,12,1696
 Weiqing  Wang,12,13,660,12,13,648
 Tetsuro  Kobayashi,18,30,1414,15,21,847
 R. Andrei  Akhmetzhanov,13,16,571,12,14,506
 Sung-mok  Jung,9,7,330,9,7,329
 Baoyin  Yuan,9,7,317,9,7,316
 Ryo  Kinoshita,12,12,524,12,12,523
 Hiroshi  Nishiura,47,184,8422,34,122,4509
 Wei Zhang,126,1030,99685,94,808,68640
 Nicola Luigi  Bragazzi,32,119,4596,30,111,4335
 Qian  Li,26,71,3306,20,44,1879
 Jianhong  Wu,68,320,21967,44,193,9810
 K. Roosa,9,7,326,6,4,211
 Y.  Lee,207,1311,217144,174,1155,151552
 R.  Luo,46,89,27822,29,75,12798
 A.  Kirpich,7,5,137,7,5,132
 R.  Rothenberg,30,67,5046,16,23,926
 J. M.  Hyman,63,150,17502,38,99,6445
 P.  Yan,108,1218,67403,83,951,41498
 G.  Chowell,52,153,10845,40,137,6258
 Yan  Zhen,54,96,17223,41,74,10627
 A.  Wilder-Smith,52,200,14568,43,158,9190
 Stanley  Perlman,62,202,12441,38,113,5765
 Tom  Gallagher,27,34,2779,15,20,990
 Xinguang Chen,49,178,7514,30,124,3595
 Bin  Yu,61,138,25839,47,95,11432
 Billy J Quilty,2,2,113,2,2,113
 Sam  Clifford,18,25,826,17,25,787
 Stefan  Flasche,25,35,2106,21,35,1686
 Rosalind M  Eggo,18,25,1147,18,24,1048
 S. Cleemput,6,5,101,6,5,101
 W.  Dumon,9,9,335,9,9,333
 V.  Fonseca,49,152,9136,30,96,4111
 W. A.  Karim,35,61,5068,30,55,3228
 M.  Giovanetti,54,131,15085,36,97,5453
 T.  de Oliveira,50,398,15769,34,224,8016
 Jaegyun Lim,3,2,92,3,1,88
 Seunghyun  Jeon,8,7,274,8,7,243
 Moon Jung  Kim,9,8,388,9,8,304
 Yu Min  Seong,9,7,383,6,4,296
 Yu Min  Kang,4,2,96,4,2,95
 Sang-Joon  Park,26,48,2299,19,34,966
 Ashwini  Malla,6,3,86,6,3,75
 Waranyoo  Phoolcharoen,11,15,972,11,14,582
 Monica Malta,24,34,2182,18,27,1156
 Anne W.  Rimoin,20,30,1610,16,25,889
 Steffanie A.  Strathdee,100,542,42302,56,398,17043
 Muhamad Fahmi,13,15,558,10,10,405
 Masahiro  Ito,32,61,3364,17,34,1125
 Jieliang Chen,14,15,1159,14,15,996
 Xinglou  Yang,19,32,2993,17,31,2763
 Jia  Liu,95,1010,53597,70,537,29446
 Mingyue  Xu,11,12,573,9,8,241
 Zhihong  Hu,10,12,454,10,11,319
 Wu  Zhong,87,446,52644,70,368,33256
 A.  Watts,77,170,19653,35,110,4435
 C.  Huber,83,229,21282,34,104,4208
 M. U. G.  Kraemer,33,54,6050,33,54,5998
 K.  Khan,88,655,39328,65,507,22672
 K. K. Y.  Leung,18,20,2827,18,20,2242
 Sittiporn  Parnmen,21,37,2160,19,33,1846
 Raphael TC  Lee,19,27,1480,17,25,928
 Sebastian  Maurer-Stroh,49,108,8389,38,98,4077
 Tong  Pang,7,6,322,7,6,322
 Yuan  Li,105,1364,75122,83,969,44532
 Junli Liui,32,53,8614,19,35,2173
 Fangfang  Wang,14,16,683,13,16,529
 Juan  Li,85,923,41312,62,492,20083
 Tianqi  Yu,5,4,117,5,4,117
 Yan  Yan,205,1603,250294,173,1373,176177
 Zhong Sun,74,811,39073,54,470,20063
 Karuppiah  Thilakavathy,6,4,109,6,4,99
 S. S.  Kumar,54,402,19365,41,263,11244
 Jing Li,99,559,51905,58,402,17244
 Wenjun  Liu,42,116,5310,34,99,4423
 Yong Liu,125,313,75386,113,286,58400
 Jinxiu  Li,8,8,263,8,7,225
 Ahmed A.  Ewees,15,22,796,15,22,794
 Hong  Fan,85,197,26785,74,178,19825
 Mohamed  Abd El Aziz,44,53,6920,32,48,2571
 Shizhe  Zhao,6,6,351,6,5,231
 Abualgasim Elgaili  Abdalla,8,8,199,8,8,198
 Wan  Zhu,20,33,1782,16,24,1177
 Yunlong  Wang,6,4,162,5,4,114
 Xiangqian  Guo,17,22,1652,16,20,1293
 Bo  Wang,83,473,33157,72,440,25114
 Yan  Kang,17,26,1207,17,26,919
 E. Lisa Gralinski,25,38,2535,23,37,1887
 Marta  Giovanetti,16,25,1996,15,25,1945
 Massimo  Ciccozzi,37,150,5350,27,111,3128
 Najmul Haider,12,12,451,12,12,404
 Alexei  Yavlinsky,11,12,494,3,1,80
 David  Simons,57,136,11540,23,62,2591
 Abdinasir Yusuf  Osman,13,22,587,10,12,391
 Alimuddin  Zumla,120,941,73792,94,716,39767
 Richard  Kock,38,94,5249,26,60,2948
 Fan Wu,31,61,4097,28,53,3323
 Su  Zhao,38,161,6035,27,89,2861
 Wen  Wang,277,2099,341712,226,1890,237819
 Yi  Hu,26,33,5316,23,29,2633
 Yu-Ling  Zhang,3,1,68,3,1,51
 Yi  Liu,106,1055,65284,81,780,39354
 Jiao-Jiao  Zheng,14,18,518,14,18,463
 Lin  Xu,63,280,14925,50,237,9742
 Edward C.  Holmes,134,528,65409,85,445,28394
 Chung- I. Wu,23,33,1482,13,20,588
 Astra  Vitkauskiene,21,37,1455,17,27,974
 Valentyn  Oksenych,12,16,1120,12,15,599
 Irja  Lutsar,36,98,6534,29,70,2618
 Yasuhiko  Irie,18,20,1932,17,19,1416
 Tanel  Tenson,42,93,6024,33,85,3612
 David  Hui,78,270,23181,46,210,10126
 Davidson H.  Hamer,55,169,9933,38,137,5280
 Shui Shan  Lee,35,112,4698,17,51,1759
 Ira  Praharaj,13,14,650,13,13,593
 Sean  Wasserman,12,13,449,12,13,415
 Guiseppe  Ippolito,77,359,22569,43,214,8970
 Marion  Koopmans,103,409,39211,64,334,17647
