JournalNameInData,StandardJournalName,Publisher,ChiefEditor,PrintISSN,ElectronicISSN,ImpactFactor
[Zhonghua yan ke za zhi] Chinese journal of ophthalmology,[Zhonghua yan ke za zhi] Chinese journal of ophthalmology,Chinese Medical Association ,0412-4081,0412-4082,0.13,
3 Biotech,3 Biotech,Springer,Bharat Patel,,2190-5738,2.351
6,Academic Pathology ,SAGE Publications,James M. Crawford,2374-2895,2374-2895,
Acad Pathol,Academic Emergency Medicine,Society for Academic Emergency Medicine,Jeffrey A. Kline,,1553-2712,3.389
Academic Emergency Medicine,Academic Radiology,Elsevier,N. Reed Dunnick,1076-6332,,2.231
Academic Radiology,ACS Applied Materials & Interfaces,American Chemical Society,Kirk S. Schanze,1944-8244,1944-8252,8.456
ACS Appl Mater Interfaces,ACS Central Science,American Chemical Society,Carolyn R. Bertozzi,,2374-7951,12.837
ACS Cent Sci,ACS Chemical Biology,American Chemical Society,Laura L. Kiessling,1554-8929,1554-8937,4.374
ACS Chem Biol,ACS Infectious Diseases,American Chemical Society,Courtney C. Aldrich,,2373-8227,4.911
ACS Infect Dis,ACS Omega,American Chemical Society,Krishna Ganesh and Deqing Zhang,2470-1343,2470-1343,2.58
ACS Omega,ACS Synthetic Biology,American Chemical Society,Christopher Voigt,,2161-5063,5.571
ACS Synth Biol,Acta Biomedica,Society of Medicine and Natural Sciences of Parma and Centre,Maurizio Vanelli,0392-4203,,0.77
Acta Biomed,Acta Crystallographica Section D: Structural Biology,IUCr/Wiley,"J. L. Martin, R. J. Read, S. Wakatsuki",2059-7983,,2.512
Acta Crystallogr D Biol Crystallogr,Acta Crystallographica Section D: Structural Biology,IUCr/Wiley,"J. L. Martin, R. J. Read, S. Wakatsuki",2059-7983,,2.512
Acta Crystallogr D Struct Biol,Acta Crystallographica Section E: Crystallographic Communications,IUCr/Wiley,"W. T. A. Harrison, H. Stoecki-Evans, L. Van Meervelt, Syed Adnan Jaffer",2056-9890,,0.347
Acta Crystallogr Sect E Struct Rep Online,Acta Crystallographica Section F: Structural Biology Communications,IUCr/Wiley,"Z. Dauter, W. N. Hunter, M. S. Weiss",2053-230X,,0.647
Acta Crystallogr Sect F Struct Biol Cryst Commun,Acta Informatica Medica,Academy of Medical Sciences of Bosnia and Herzegovina,Lejla Zunic,0353-8109,1986-5988,1.03
Acta Inform Med,Acta Médica Portuguesa ,Portuguese Medical Association,Rui Tato Marinho,0870-399X,1646-0758,0.256
Acta Med Port,Acta Naturae,,"A.G. Gabibov, S.N. Kochetkov",2075-8251,,1.657
Acta Naturae,Acta Neuropathologica,Springer,Yohannes Atterns,0001-6322,1432-0533,14.996
Acta Neuropathol,Acta Neuropathologica,Springer,Yahannes Atterns,0001-6322,1432-0533,14.996
Acta Neuropathol Commun,Acta Obstetricia et Gynecologica Scandinavica,Wiley-Blackwell,Ganesh Acharya,0001-6349,1600-0412,2.426
