JournalNameInData,StandardJournalName,Publisher,ChiefEditor,PrintISSN,ElectronicISSN,ImpactFactor
[Zhonghua yan ke za zhi] Chinese journal of ophthalmology,[Zhonghua yan ke za zhi] Chinese journal of ophthalmology,Chinese Medical Association ,,0412-4081,,0.13
3 Biotech,3 Biotech,Springer,Bharat Patel,,2190-5738,2.351
6,,,,,,
Acad Pathol,Academic Pathology ,SAGE Publications,James M. Crawford,2374-2895,2374-2895,
Academic Emergency Medicine,Academic Emergency Medicine,Society for Academic Emergency Medicine,Jeffrey A. Kline,,1553-2712,3.389
Academic Radiology,Academic Radiology,Elsevier,N. Reed Dunnick,1076-6332,,2.231
ACS Appl Mater Interfaces,ACS Applied Materials & Interfaces,American Chemical Society,Kirk S. Schanze,1944-8244,1944-8252,8.456
ACS Cent Sci,ACS Central Science,American Chemical Society,Carolyn R. Bertozzi,,2374-7951,12.837
ACS Chem Biol,ACS Chemical Biology,American Chemical Society,Laura L. Kiessling,1554-8929,1554-8937,4.374
ACS Infect Dis,ACS Infectious Diseases,American Chemical Society,Courtney C. Aldrich,,2373-8227,4.911
ACS Omega,ACS Omega,American Chemical Society,Krishna Ganesh and Deqing Zhang,2470-1343,2470-1343,2.58
ACS Synth Biol,ACS Synthetic Biology,American Chemical Society,Christopher Voigt,,2161-5063,5.571
Acta Biomed,Acta Biomedica,Society of Medicine and Natural Sciences of Parma and Centre,Maurizio Vanelli,0392-4203,,0.77
Acta Crystallogr D Biol Crystallogr,Acta Crystallographica Section D: Structural Biology,IUCr/Wiley,"J. L. Martin, R. J. Read, S. Wakatsuki",2059-7983,,2.512
Acta Crystallogr D Struct Biol,Acta Crystallographica Section D: Structural Biology,IUCr/Wiley,"J. L. Martin, R. J. Read, S. Wakatsuki",2059-7983,,2.512
Acta Crystallogr Sect E Struct Rep Online,Acta Crystallographica Section E: Crystallographic Communications,IUCr/Wiley,"W. T. A. Harrison, H. Stoecki-Evans, L. Van Meervelt, Syed Adnan Jaffer",2056-9890,,0.347
Acta Crystallogr Sect F Struct Biol Cryst Commun,Acta Crystallographica Section F: Structural Biology Communications,IUCr/Wiley,"Z. Dauter, W. N. Hunter, M. S. Weiss",2053-230X,,0.647
Acta Inform Med,Acta Informatica Medica,Academy of Medical Sciences of Bosnia and Herzegovina,Lejla Zunic,0353-8109,1986-5988,1.03
Acta Med Port,Acta Médica Portuguesa ,Portuguese Medical Association,Rui Tato Marinho,0870-399X,1646-0758,0.256
Acta Naturae,Acta Naturae,,"A.G. Gabibov, S.N. Kochetkov",2075-8251,,1.657
Acta Neuropathol,Acta Neuropathologica,Springer,Yohannes Atterns,0001-6322,1432-0533,14.996
Acta Neuropathol Commun,Acta Neuropathologica,Springer,Yahannes Atterns,0001-6322,1432-0533,14.996
Acta Obstetricia et Gynecologica Scandinavica,Acta Obstetricia et Gynecologica Scandinavica,Wiley-Blackwell,Ganesh Acharya,0001-6349,1600-0412,2.426
Acta Orthop,Acta Orthopaedica,Taylor and Francis ,Anders Rydholm Lund,1745-3674,1745-3682,3.217
Acta Otolaryngol,Acta Oto-Laryngologica,Taylor and Francis Group,Matti Anniko,0001-6489,1651-2553,3.446
Acta Otorhinolaryngol Ital,Acta Otorhinolaryngologica Italica,,M. Ansarin,,,1.408
Acta Pharm Sin B,Acta Pharmaceutica Sinica B,Elsevier,J.D. Jiang,2211-3835,,5.808
Acta Pharmaceutica Sinica B,Acta Pharmaceutica Sinica B,Elsevier,J.D. Jiang,2211-3836,,5.808
Acta Pharmacol Sin,Acta Pharmaceutica Sinica B,Elsevier,J.D. Jiang,2211-3837,,5.808
Acta Vet Scand,Acta Veterinaria Scandinavica,BioMed Central,Jørgen S. Agerholm,0044-605X,,1.678
Acute Crit Care,Acute and Critical Care,Korean Society of Critical Care Medicine,Jae Hwa Cho,2586-6052,2586-6060,
Acute Med Surg,Acute Medicine & Surgery,Japanese Association for Acute Medicine,Hiroshi Tanaka,2052-8817,,
Adv Appl Bioinform Chem,Advances and Applications in Bioinformatics and Chemistry,Dove Medical Press,Bruno Villoutreix,1178-6949,,1.45
Adv Bioinformatics,Advances in Bioinformatics,Hindawi Publishing Corporation,,,1687-8035,1.33
Adv Biomed Res,Advanced Biomedical Research,Medknow Publications,Shaghayegh Haghjooy Javanmard,,2277-9175,
Adv Dis Control Prev,,,,,,
Adv Exp Med Biol,Advances in Experimental Medicine and Biology,Springer,"Wim E. Crusio, Heinfried H. Radeke, Nima Rezaei",0065-2598,2214-8019,2.126
Adv J Emerg Med,Advanced Journal of Emergency Medicine,Tehran University of Medical Sciences,Mohammad Jalili,,2588-400X,
Adv Prev Med,Advances in Preventive Medicine ,Hindawi Publishing Corporation,,2090-3480,2090-3499,
Adv Sci (Weinh),Advanced Science,Wiley-VCH,Kirsten Severing,2198-3844,,15.804
Adv Virol,Advances in Virology,Hindawi Publishing Corporation,,1687-8639,1687-8647,2.44
Afr Health Sci,African Health Sciences,Makerere University Medical School,James K. Tumwine,1680-6905,1729-0503,0.842
